a Spectral Type,a Deltai (deg),a Deltai +Unc,a Deltai -Unc,b Mstar (Msun),b Mstar +Unc,b Mstar -Unc,b Deltai (deg),b Deltai +Unc,b Deltai -Unc,c Teff (K),c Teff +Unc,c Teff -Unc,c Deltai (deg),c Deltai +Unc,c Deltai -Unc,d Rstar (Rsun),d Rstar +Unc,d Rstar -Unc,d Deltai (deg),d Deltai +Unc,d Deltai -Unc,e Prot (d),e Prot +Unc,e Prot -Unc,e Deltai (deg),e Deltai +Unc,e Deltai -Unc,f vsini (km/s),f vsini +Unc,f vsini -Unc,f Deltai (deg),f Deltai +Unc,f Deltai -Unc,g idisk (deg),g idisk +Unc,g idisk -Unc,g Deltai (deg),g Deltai +Unc,g Deltai -Unc,h istar (deg),h istar +Unc,h istar -Unc,h Deltai (deg),h Deltai +Unc,h Deltai -Unc
5.475,54.7,3.621992905,13.55235083,0.509807315,0.017906907,0.017906907,54.7,3.621992905,13.55235083,2997.400412,77.91076023,77.91076023,54.7,3.621992905,13.55235083,0.706,0.054095623,0.054095623,54.7,3.621992905,13.55235083,1.895,0.024161251,0.024161251,54.7,3.621992905,13.55235083,19.1,0.955,0.955,54.7,3.621992905,13.55235083,31.36,0.29,0.29,54.7,3.621992905,13.55235083,90.0,17.05813048,-2.38e-05,54.7,3.621992905,13.55235083
4.0,16.3,21.71299181,9.781423713,1.797312375,0.156275694,0.156275694,16.3,21.71299181,9.781423713,5036.304427,61.94272985,61.94272985,16.3,21.71299181,9.781423713,2.25,0.392945607,0.392945607,16.3,21.71299181,9.781423713,2.3,0.202053184,0.202053184,16.3,21.71299181,9.781423713,36.48565069,0.96430799,0.96430799,16.3,21.71299181,9.781423713,31.0,1.4,1.4,16.3,21.71299181,9.781423713,47.54,10.00104647,21.33506136,16.3,21.71299181,9.781423713
5.25,0.7,21.74566866,0.7,0.369058089,0.01210239,0.01210239,0.7,21.74566866,0.7,3681.313553,42.52106056,42.52106056,0.7,21.74566866,0.7,1.388,0.242403779,0.242403779,0.7,21.74566866,0.7,3.31,0.099319946,0.099319946,0.7,21.74566866,0.7,20.06296461,0.442073474,0.442073474,0.7,21.74566866,0.7,55.1,1.0,1.0,0.7,21.74566866,0.7,71.11,7.506054627,18.8899604,0.7,21.74566866,0.7
5.23,9.8,15.5274209,9.8,0.366147453,0.046118071,0.046118071,9.8,15.5274209,9.8,3685.816726,7.497818627,7.497818627,9.8,15.5274209,9.8,1.623,0.283444764,0.283444764,9.8,15.5274209,9.8,5.974064838,0.27321229,0.27321229,9.8,15.5274209,9.8,9.498027934,0.281299592,0.281299592,9.8,15.5274209,9.8,34.1,1.0,1.0,9.8,15.5274209,9.8,43.76,9.257979482,18.49118566,9.8,15.5274209,9.8
5.03,12.8,3.952777151,5.805006687,0.600258654,0.039580248,0.039580248,12.8,3.952777151,5.805006687,3883.865159,32.09350924,32.09350924,12.8,3.952777151,5.805006687,3.552,0.620330131,0.620330131,12.8,3.952777151,5.805006687,6.314237753,0.210309484,0.210309484,12.8,3.952777151,5.805006687,10.70287053,0.301449756,0.301449756,12.8,3.952777151,5.805006687,35.17,0.21,0.21,12.8,3.952777151,5.805006687,22.11,3.990010513,6.261502547,12.8,3.952777151,5.805006687
4.4,21.7,0.673004734,13.64517155,0.919980135,0.09051357,0.09051357,21.7,0.673004734,13.64517155,4326.471152,144.7232524,144.7232524,21.7,0.673004734,13.64517155,2.513,0.201106242,0.201106242,21.7,0.673004734,13.64517155,9.02,0.671194164,0.671194164,21.7,0.673004734,13.64517155,15.9,0.795,0.795,21.7,0.673004734,13.64517155,67.4,0.2,0.2,21.7,0.673004734,13.64517155,90.0,14.61775057,-1.92e-05,21.7,0.673004734,13.64517155
4.3,15.3,13.8340276,7.747413846,1.343887791,0.066101091,0.066101091,15.3,13.8340276,7.747413846,4614.587471,48.55129121,48.55129121,15.3,13.8340276,7.747413846,1.58,0.275935137,0.275935137,15.3,13.8340276,7.747413846,2.96,0.050560344,0.050560344,15.3,13.8340276,7.747413846,16.28520924,0.54927126,0.54927126,15.3,13.8340276,7.747413846,21.8,0.9,0.9,15.3,13.8340276,7.747413846,37.14,7.641966561,13.79855091,15.3,13.8340276,7.747413846
5.05,0.1,25.60185596,0.1,0.57121823,0.072959235,0.072959235,0.1,25.60185596,0.1,3898.16229,46.90981062,46.90981062,0.1,25.60185596,0.1,1.425,0.248865551,0.248865551,0.1,25.60185596,0.1,7.416991271,0.283051679,0.283051679,0.1,25.60185596,0.1,6.029434954,1.377498924,1.377498924,0.1,25.60185596,0.1,32.4,0.9,0.9,0.1,25.60185596,0.1,40.67,12.70195909,22.31536765,0.1,25.60185596,0.1
4.55,0.1,3.945705809,0.1,0.855367483,0.109958486,0.109958486,0.1,3.945705809,0.1,4055.631073,138.1153811,138.1153811,0.1,3.945705809,0.1,4.09,0.155563492,0.155563492,0.1,3.945705809,0.1,6.58,0.33614449,0.33614449,0.1,3.945705809,0.1,16.19483227,0.93866509,0.93866509,0.1,3.945705809,0.1,29.0,0.3,0.3,0.1,3.945705809,0.1,31.11,2.846839616,3.239998015,0.1,3.945705809,0.1
5.25,0.2,14.50424592,0.2,0.391069307,0.007809616,0.007809616,0.2,14.50424592,0.2,3508.631146,63.77519919,63.77519919,0.2,14.50424592,0.2,1.375,0.240133426,0.240133426,0.2,14.50424592,0.2,2.191100124,0.026444608,0.026444608,0.2,14.50424592,0.2,31.03675096,0.836759526,0.836759526,0.2,14.50424592,0.2,66.0,4.0,4.0,0.2,14.50424592,0.2,78.04,12.6246888,11.95996423,0.2,14.50424592,0.2
