Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
0.0,0.0,0.0,0.00016431824313179488,0.0019476085781958198,0.07552931238026776
0.1,0.0006599163807937515,0.0006460103382795383,0.00017803395462454228,0.0020357954634664267,0.0749595966492586
0.2,0.001319702117527519,0.00129189548044266,0.00019279593312478328,0.002126671637242037,0.07439417725212752
0.30000000000000004,0.0019792266092465297,0.0019375302708102048,0.000208675204948141,0.002220923600089032,0.07383302179725629
0.4,0.0026383593411865216,0.0025827896345592335,0.00022574687969518402,0.0023187155998948073,0.0732760981369119
0.5,0.0032969699278192323,0.0032275486181054455,0.000244090326365516,0.0024202073788032012,0.07272337436578041
0.6000000000000001,0.00395492815583821,0.0038716824294307717,0.0002637893525653616,0.002527887704976287,0.07217481881903869
0.7000000000000001,0.004612104027065085,0.004515066478337941,0.0002849323864874937,0.002639603895631738,0.07163040007060724
0.8,0.005268367801256538,0.0051575764166138394,0.0003076126613057357,0.0027554689801613744,0.07109008693115515
0.9,0.005923590038792214,0.00579908817808352,0.0003319284015882478,0.002875597326087041,0.07055384844651236
1.0,0.0065776416432239086,0.006439478018536823,0.0003579830112943822,0.003000104563958904,0.0700216538959275
1.1,0.007230393903666483,0.0070786225555096016,0.00038588526287915625,0.0031291075071183715,0.06949347278992665
1.2000000000000002,0.00788171853701097,0.0077163988079016685,0.0004157494869874654,0.0032627240662424437,0.06896927486930049
1.3,0.008531487729940543,0.008352684235413615,0.0004476957621771061,0.003397952867967305,0.06844903010245303
1.4000000000000001,0.009179574180730031,0.008987356777784873,0.00048185010406565836,0.0035375188891515925,0.06793270868438013
1.5,0.009825851140809895,0.009620294893815322,0.0005183446532513679,0.003681807637344816,0.067420281034986
1.6,0.010470192456075608,0.0102513776001531,0.0005573178613126003,0.0038309309702950992,0.06691171779665056
1.7000000000000002,0.011112472607923678,0.010880484509831187,0.0005989146741443116,0.003985001230984879,0.06640698983335286
1.8,0.011752566753995511,0.011507495870535643,0.0006435530894207039,0.004144131141373959,0.06590606822866221
