Deltai (deg),f HBM 0,f HBM 1,f HBM 2,f HBM 3,f HBM 4,f HBM 5,f HBM 6,f HBM 7,f HBM 8,f HBM 9,f HBM 10,f HBM 11,f HBM 12,f HBM 13,f HBM 14,f HBM 15,f HBM 16,f HBM 17,f HBM 18,f HBM 19,f HBM 20,f HBM 21,f HBM 22,f HBM 23,f HBM 24,f HBM 25,f HBM 26,f HBM 27,f HBM 28,f HBM 29,f HBM 30,f HBM 31,f HBM 32,f HBM 33,f HBM 34,f HBM 35,f HBM 36,f HBM 37,f HBM 38,f HBM 39,f HBM 40,f HBM 41,f HBM 42,f HBM 43,f HBM 44,f HBM 45,f HBM 46,f HBM 47,f HBM 48,f HBM 49,f HBM 50,f HBM 51,f HBM 52,f HBM 53,f HBM 54,f HBM 55,f HBM 56,f HBM 57,f HBM 58,f HBM 59,f HBM 60,f HBM 61,f HBM 62,f HBM 63,f HBM 64,f HBM 65,f HBM 66,f HBM 67,f HBM 68,f HBM 69,f HBM 70,f HBM 71,f HBM 72,f HBM 73,f HBM 74,f HBM 75,f HBM 76,f HBM 77,f HBM 78,f HBM 79,f HBM 80,f HBM 81,f HBM 82,f HBM 83,f HBM 84,f HBM 85,f HBM 86,f HBM 87,f HBM 88,f HBM 89,f HBM 90,f HBM 91,f HBM 92,f HBM 93,f HBM 94,f HBM 95,f HBM 96,f HBM 97,f HBM 98,f HBM 99
0.0,0.002125714526527759,0.001788983238388355,0.001649289470003471,0.0028176382177177626,0.0012803364616368364,0.0024952855122954004,0.001106894603865581,0.002303481627072109,0.0014985457257018003,0.0022919771018557484,0.0018608818611477302,0.0019030235677267601,0.001998862411242813,0.0016835115826981354,0.0015148616952182108,0.002165299028488891,0.002183868034777129,0.0022116269165645425,0.002275250884206593,0.0017069063878601568,0.0015080153578888988,0.0016613141178585405,0.0016810978142312925,0.0022003146254545333,0.002100493652391273,0.0017351478921474415,0.0015113393411699883,0.002151800250260323,0.002538469527784499,0.0019499686908517311,0.00206232167976793,0.0025436508685587208,0.0021676158867503822,0.0017216245070934048,0.0026748411445269107,0.0023532495406282648,0.001510081136698846,0.0024615956429281955,0.002349931354903736,0.0019183584809788318,0.0021149380751049026,0.0016874249909054424,0.001266489990523082,0.002286498315405224,0.0019176979570501465,0.0023216852052328264,0.002148776215100549,0.002199108165141369,0.0027733643082787935,0.0021883856670178448,0.0008900213979286047,0.0025720846550502767,0.0018706963776608048,0.002416634549400933,0.0018865008126265346,0.0017871365679363062,0.0012464012037896692,0.001596726785992761,0.002228400154459712,0.0014794717440856696,0.0021667144495727845,0.0026198801190831056,0.0014533926723922746,0.00201883034168388,0.00222000903984981,0.0016830992478342498,0.0015815332484400563,0.0021558338438571103,0.0020049062177578164,0.0019711465383456038,0.002216734612834457,0.0019860038202826028,0.001617556088373503,0.0018094366135094151,0.001674517278847559,0.0025386659649128318,0.002622835821345113,0.002054853253240939,0.001959389173015736,0.0011808509649776343,0.0013338302850270458,0.0015259138090852964,0.0021360046419721217,0.0012235926156324744,0.002341032175268962,0.0022181203574498567,0.0018038769623868155,0.0016330473821326076,0.002739748916056556,0.0013155962045635246,0.0019425635194505768,0.0013648596153255546,0.0016785750117734365,0.0014215072947960157,0.0014554208162371233,0.0011967954535462956,0.001741009250669394,0.002078499539534597,0.0018088330968752196,0.0022283256030874313
0.5,0.002626932155956367,0.0022481597728826294,0.002066490012721891,0.003426835171923451,0.001644622919710834,0.003044352594270828,0.0014339811294214306,0.0028356035928441613,0.0019042933828924882,0.0028204727785712484,0.00232034396939021,0.0023677973141354998,0.002482782330921201,0.0021298448156610687,0.0019214509954107507,0.0026601829641067936,0.0026966652634609683,0.0027149961141661543,0.0027970515658623267,0.00215196268520702,0.0019190340103098361,0.002088747503647968,0.002125656279531521,0.0027242314419079717,0.0026044297280358618,0.0021645981090907362,0.0019210948649640508,0.0026502775791284816,0.003107690594374318,0.0024278505657505125,0.002566196230964359,0.003115396837926819,0.0026745794244563553,0.002152749402620654,0.003286904549815394,0.0028760416681496517,0.0019196648799652712,0.0030293784828381016,0.002883782514818271,0.0024049274360423297,0.0026306782129739844,0.0021394375062406003,0.0016268712032568387,0.002821550188108858,0.002386349374070955,0.002871793213044631,0.0026498655845876963,0.00272559949303435,0.0033684271826562202,0.00272081834975229,0.0011745737489932424,0.0031526867776586545,0.0023411277344763193,0.0029730640647980013,0.0023610624111597006,0.002245668653535868,0.0016117994498093446,0.002021277695835887,0.0027590738101732357,0.0018810960935059765,0.0026813456279250977,0.0032182684770978762,0.001849831319693666,0.0025075196666440713,0.0027270371475170883,0.002119095043742894,0.001984995821516104,0.0026668300484508126,0.002486376070081899,0.002450249883723295,0.00274125233792931,0.002449482680181267,0.0020378340702170566,0.002271607697637042,0.0021164382375984296,0.0031023097261819303,0.003193912680171177,0.002566080449664636,0.0024519796418466674,0.001521233268471693,0.0017048002460712784,0.0019239704858905456,0.0026482555117319537,0.0015771846968840825,0.0028691821475323536,0.0027305277293497034,0.002260170522147473,0.002053934442200786,0.0033394108927723926,0.0016785794642529056,0.002406030223407734,0.0017393028681262667,0.0021155298649697105,0.0018084548898448106,0.0018519338111673857,0.0015457055491730361,0.0022019566140280516,0.0025984735306257487,0.0022793267029914176,0.0027472530285186122
1.0,0.0032245254633280233,0.002804406064661893,0.0025709765339215957,0.0041414129754448956,0.002095640955323492,0.003690906716012867,0.0018424267551318961,0.0034674696767181276,0.002401329242774151,0.0034478804620277402,0.0028730373225333357,0.0029257402163822355,0.00306259616943204,0.0026739466569263596,0.0024186752686679272,0.0032471814468730213,0.003307496732082539,0.0033115472604565792,0.003416021820836439,0.0026928299796832107,0.0024231099161526907,0.0026071053312585178,0.0026673539766524992,0.0033496799831644786,0.003207039305396849,0.002681726282736106,0.0024231248616882594,0.0032428438808087853,0.003779812913899688,0.0030017315534072537,0.003170662425757605,0.0037907366106539305,0.0032781178514837673,0.0026729699518810747,0.004011511748624702,0.0034929118905622607,0.0024215261443946917,0.003702984242767883,0.0035159049185789783,0.002992759520040805,0.0032490311614938776,0.002691476866292,0.0020731033926428884,0.003458254198064593,0.0029489666599915054,0.0035276376786496804,0.003246179224751138,0.0033546862283690324,0.004065743854123222,0.003358730288289655,0.0015362969425378665,0.003838863992804957,0.0029087595573370063,0.0036331374263056776,0.002933665360683392,0.002801103478968807,0.0020669227038083186,0.0025393428566333727,0.0033925240197937405,0.002373370480172283,0.003295550018906363,0.003926634631582254,0.002336253343478289,0.003092980595341345,0.0033282312207027873,0.0026484082375290707,0.002473767589282437,0.0032765213075544985,0.003062465051875721,0.0030247460928853483,0.0033667315585322244,0.003001508624207114,0.0025485171829802626,0.002830948133257251,0.0026547458233498384,0.0037668274685445672,0.0038649750584071755,0.003181262543165671,0.003046060967294902,0.0019439983159536746,0.002161959471500295,0.0024082427772817157,0.0032606695178500384,0.002016440720635983,0.0034938972635075722,0.003339206247441528,0.0028114837354848007,0.0025645860202916254,0.0040443086277750845,0.0021252793673936917,0.0029601439745412703,0.002199476274145611,0.0026464785788146007,0.00228314355322537,0.002338332958404933,0.001979969224473223,0.0027635626062608993,0.003224699309676945,0.0028505577249901453,0.0033644443110862087
1.5,0.003931477574383696,0.003472541516481524,0.0031760789708572793,0.004973374940680461,0.0026489620133009996,0.0044466669254754005,0.0023477219294184954,0.0042119791648385155,0.003004855230858308,0.004186982426885641,0.0035325270545259247,0.003590193698457009,0.003751769669244081,0.0033314280872050613,0.0030214661818268986,0.0039382477007497306,0.004029429300616904,0.004013258203555447,0.004144668318667798,0.0033445084344999247,0.0030358275244940264,0.003230499344921734,0.0033216649481393732,0.004090371336636821,0.003921897957195523,0.003299499128666554,0.003032794157079606,0.003941903509319479,0.004567405260327651,0.0036853380608493553,0.0038898856699989956,0.0045823494585916615,0.003991071571785028,0.0032956435563874058,0.00486251464852105,0.00421546369080074,0.003031038904944307,0.004495848804237497,0.004258719426761365,0.0036969135805911203,0.003984337343012531,0.0033596776900587013,0.0026206265289168812,0.004209963060510214,0.003618992744617788,0.00430324187512146,0.00395036419079205,0.0041003052493399075,0.004876918236353542,0.004116713180912541,0.001991521849964788,0.004643558911731586,0.003587991828731666,0.0044100514298215645,0.0036188144346613786,0.0034682322274332293,0.00262843691136018,0.003166042108905347,0.004142590617747882,0.0029714630868198358,0.004022786711135336,0.004758565843787341,0.002927833591764368,0.0037887710789178365,0.004035729522324877,0.0032855887953063064,0.0030610908654771242,0.003998234437974904,0.003746338666868027,0.0037081266004949597,0.004106691951719806,0.0036540606143036177,0.0031638478524030574,0.0035021852664167082,0.0033047733055307288,0.0045444076633114885,0.004647742702093138,0.003915331556522959,0.0037565216702632044,0.0024643097658949152,0.0027203370769165306,0.0029925098311253135,0.003986969269141784,0.002557087334437229,0.004227303359032964,0.004056720312405891,0.003472082366938806,0.0031790024651459007,0.004866694166845921,0.0026702072640923313,0.003617516304767598,0.002760070587430821,0.0032861578503788893,0.00286039301182628,0.0029297546543406816,0.002515445730907265,0.003441777004315249,0.003972489105398643,0.0035380851506655042,0.004092820521410844
2.0,0.004761226394374973,0.004268220229385245,0.0038959452889674503,0.005934733222896307,0.003321566087422426,0.005323528017860989,0.002966966966255563,0.005082368435781217,0.003731207391755959,0.005050899481200576,0.004313055596971213,0.004375129176853044,0.004564339553284886,0.004118898333150106,0.003745845271598731,0.004745707001448827,0.00487595164521185,0.004832453084606454,0.004995832956508698,0.004122919182810932,0.0037739366836457267,0.003973920573357442,0.004105050939097655,0.004960463475181148,0.004763088654071765,0.00403160507814256,0.003766606353279947,0.0047602658448625,0.005483217878786891,0.004493020481558267,0.004738603331991901,0.005503096955821008,0.00482670058385636,0.004034892322750826,0.005853904796794789,0.005055549194737851,0.003764718125560961,0.00542166946039865,0.005124933390075613,0.004533195090362887,0.004851481766406314,0.004161218277929144,0.003286288478361981,0.005090399843544823,0.0044104974619230495,0.005213009533633871,0.0047754881338931705,0.0049768538778571575,0.005813578544473753,0.0050098645684439795,0.002558644910529607,0.005579888582684577,0.0043939587558894586,0.005317282730143798,0.00443174425321307,0.004262679952659169,0.0033145987953918715,0.003917527167829248,0.005023548236955615,0.0036916914119692382,0.004876970134969926,0.005727815791961568,0.0036409229487193075,0.004609012209957718,0.00486201997388953,0.004046087514110763,0.0037610713770920147,0.004845751254237527,0.004551709091350283,0.004514475114893139,0.004975078372155203,0.004419598607545845,0.0038989969157977797,0.004300856415439457,0.004082834562246174,0.005447406927937653,0.0055540423179046465,0.004783847931694524,0.004598950984371495,0.0030988036287292312,0.0033962450369670128,0.003691512673861583,0.004841369154964766,0.003216346729258364,0.005081804720034876,0.004896007319210253,0.004257008700449655,0.003912076690878907,0.005818876705482234,0.0033291146098326763,0.004391309690983558,0.003436987364910881,0.004050226157939058,0.0035561915777280774,0.003642505081866128,0.003169540480606328,0.00425352530235185,0.004857790349832642,0.004358347963155168,0.004945688160038556
2.5,0.005727365512364263,0.005207616771105185,0.004745290277243454,0.007037178040397758,0.004131601051633192,0.006333268507143222,0.0037186764617592135,0.006091895776431888,0.004597579178237576,0.006052781031636343,0.0052292565254924974,0.005294863408973094,0.005514613333584239,0.005053643795041797,0.004608651336709437,0.005681987016785287,0.005860666026045653,0.0057815274282518765,0.0059823940773062936,0.005044597411880443,0.004655064052183678,0.004852964938733647,0.005034644781133863,0.005974229161356922,0.0057448859138926585,0.004892201596852771,0.0046419204467378706,0.005710862383405068,0.0065398557738253005,0.005439450741114837,0.00573179384441298,0.006565691674250378,0.005798385578330342,0.004905341221793369,0.006999423412997792,0.0060249936593829,0.00463993636990832,0.006494053792602897,0.00612723744869546,0.00551781524113078,0.00586555054568659,0.005113983203801931,0.004088110401008882,0.006113328704637106,0.005337887970911584,0.006271367598358054,0.005734748775416329,0.0059988500730088455,0.006887065664762316,0.006053426283392933,0.0032579918609312556,0.006660800531085198,0.005342215653492017,0.006368250269449079,0.005388100673925092,0.005200592484466336,0.004144999362649437,0.0048106895680546215,0.0060497664604873755,0.004551249993772144,0.005872150469704846,0.006847930928144776,0.004492780828561522,0.005568082667602505,0.005819659169845061,0.004945965922175134,0.00458843894732833,0.005832994681492754,0.0054925438139051,0.005458169964520286,0.005985933507558563,0.0053108109012387,0.004769792319950802,0.00524299440381334,0.005005912705067758,0.006488037249183534,0.006595504426763977,0.005802644652223882,0.005589297659653028,0.0038653796649749466,0.004207038014563328,0.004520709500646804,0.005838250371298761,0.004012706147395898,0.00606979192149897,0.0058700826963410295,0.005181781916930139,0.004779327115786226,0.0069128891027659565,0.0041187681612278515,0.005294970459494278,0.0042471003357275,0.00495496901306553,0.004387443540917735,0.0044937932902335284,0.003960978563067589,0.005216367537805243,0.005896813379399261,0.005328324912578936,0.005936431094217284
3.0,0.006843275201366146,0.0063070175307856835,0.005739064375619606,0.008291693000016151,0.005098027513543675,0.007487204072456803,0.004622465815696945,0.007253459200126098,0.005621640090876792,0.007205429115122566,0.006295789058976134,0.006363697440451488,0.00661679274976784,0.006153201090218787,0.00562716688092734,0.006759288365285223,0.006996910045425257,0.006872613705403722,0.0071169040231697225,0.006126287418398772,0.005697315220093864,0.005883470367601552,0.006127829526739443,0.007145647692102652,0.006881363830956181,0.005895587677894934,0.005676561019537644,0.006806399750718198,0.007749390580233092,0.006539240076478385,0.006884263036402752,0.007782303538765867,0.006919261013766044,0.005921777074618197,0.008312099913747616,0.007135265097434086,0.00567453384281707,0.007726098355867098,0.0072779402524175306,0.006666955137023158,0.007041403572073101,0.006236113559279919,0.005044939091309111,0.007292154103808161,0.006415541923353827,0.007492331307755625,0.006841116984322841,0.007180514164796593,0.008108070434250872,0.00726233748476466,0.004111544594349604,0.007898664415511673,0.006448337556072134,0.00757590922986657,0.006503533002368068,0.00629822921436093,0.005140176800436957,0.005862767001059115,0.007235292892498985,0.005567833502335137,0.007022119972360342,0.008131807120117202,0.0055012023931567105,0.006680236116850761,0.006920930502478438,0.0060015130102714365,0.005558228123485999,0.00697364196384425,0.006582701041107463,0.006553509429380774,0.007152996498220811,0.0063402995552426355,0.0057923570594661045,0.006344720098144193,0.006091246042373897,0.007677995104043842,0.007783206852864673,0.0069873801844056145,0.006743436494834611,0.0047828813051718055,0.005170767129489872,0.005495943955191387,0.006991758810209695,0.004965569347266067,0.00720329013569024,0.006991680113931702,0.006262010610691494,0.005796542893080277,0.008160097718287542,0.005056625306209781,0.006341893188062319,0.005207915699126115,0.006016908774942603,0.0053716150722411295,0.005501359528458259,0.004909457667224478,0.006348048228257929,0.007105564108478565,0.006465091525767386,0.007078134417253119
3.5,0.008121685136412668,0.007582316056854636,0.006892039947777109,0.009708122033369593,0.006240139303040513,0.008795790018004863,0.005698606260884495,0.00857915015433669,0.006821043991265432,0.008520859160678537,0.007526892629030923,0.007595478978254741,0.00788452149403539,0.007434820963227685,0.006818638388980665,0.007989197080371298,0.008297310472807408,0.008117189351774926,0.008411165576978802,0.007384436972306416,0.006918761695577776,0.0070810625865537075,0.007401710117819185,0.008487922861617144,0.008185929510334256,0.007055799899936703,0.006888316391078976,0.00805895033577575,0.00912291529269992,0.007806477273891269,0.008210148969243368,0.009164108218529646,0.008201782072772047,0.007098726498410107,0.009803725037993061,0.008397091733594432,0.006886316222525368,0.009129901439497948,0.00858854410907739,0.007996234916554282,0.008393165124508939,0.007545441401791942,0.006175976279025608,0.008639451428730006,0.007657363327114594,0.008888995083532034,0.008106915182276865,0.00853527456007807,0.009486224779318073,0.00865070480186757,0.005142508859709717,0.009304804027810545,0.007727428950218556,0.008952280325809069,0.007793196564267106,0.0075714601444248075,0.006321086527905477,0.007090843859449258,0.008593361795153288,0.0067591492585027625,0.008339947269077573,0.009591182083582712,0.006684034136644528,0.00795914239447156,0.008177443477130886,0.007228766033116259,0.006685375494297843,0.008280666892383227,0.007835492564872464,0.007814260475086017,0.008489229974492793,0.0075202044079351734,0.006982652954990653,0.007621740607906222,0.0073558081437875185,0.00902803652818554,0.009127269083090056,0.00835300152585844,0.008076642885289363,0.005870652755976845,0.006305719470596551,0.006633022171479299,0.008315327661509839,0.00609477872708988,0.008493550741061373,0.008272829047333922,0.007512916153598892,0.006979338344633862,0.00957076083842481,0.006160401632631947,0.0075450168035080855,0.006337124059598169,0.007252316125684031,0.006526272112498896,0.0066829925428068685,0.006035168300717953,0.007665934824766578,0.00849928326092383,0.0077852727916041834,0.008383142592439453
4.0,0.009574174300207607,0.009048415865694638,0.008218316324984204,0.011294696813851217,0.007576955016563716,0.010268179406848273,0.006967439769805087,0.010079749843123606,0.008212826636740916,0.010009804000741777,0.008935865105426407,0.009003092041808722,0.009330362025416839,0.00891482550656119,0.008199690237117365,0.009382243857469746,0.009773275134845891,0.009525632442127585,0.00987575341357021,0.008834593522090118,0.008336812462687087,0.008460611264210815,0.00887247994673447,0.010012933906494605,0.009670787690028384,0.008386134145968146,0.008294324485693,0.009479485708795471,0.010670049801980955,0.009254191908195647,0.009722351234024396,0.010720785677549988,0.009657231162852636,0.008449954909537247,0.011484269297317176,0.009820033010038599,0.008292440019036566,0.010716018424414506,0.010069268099030656,0.009520092976363014,0.009933639041244712,0.00905881111366736,0.007500180090712049,0.010166436117154051,0.009076265156012309,0.010472957363430799,0.009543336428875353,0.010075204406876965,0.01102965477079928,0.010231197170251321,0.006374705496156002,0.010888978298465286,0.009193548812006833,0.010507922324768937,0.009271170064877057,0.009035170650042564,0.007708422362125528,0.008511247030533827,0.01013583542820124,0.0081423184194964,0.009837445843204649,0.011236073514690971,0.008058576646676655,0.009417357532833823,0.009599679615888234,0.008642937444222737,0.00798423425895216,0.009765817072733655,0.0092631787240459,0.009253135462277845,0.01000628221725633,0.008861769360845382,0.00835593142353945,0.00908875683029165,0.008815684220507195,0.01054750560503279,0.010636404880354281,0.009913123941354797,0.009602980893638277,0.007147966800025446,0.007629840092091716,0.007947198508186289,0.009821130951119285,0.007420002165302542,0.009950592402611163,0.009724375474424908,0.00894877027934734,0.008342617890085136,0.011153544465791627,0.007447527360842613,0.008916356117524626,0.0076520414139785685,0.008676625274052874,0.007868508580697223,0.00805593468584365,0.007358174621074723,0.009186348108989873,0.010091799362717962,0.009304395675434958,0.009862558076850533
4.5,0.011210617849830058,0.010718550188487504,0.009730749625253842,0.013057537025126159,0.009126482957285515,0.011911746876783067,0.008448652057279824,0.011764179096985315,0.009812698446488135,0.011681171772703981,0.010534473093142718,0.01059788237885149,0.010965210991466275,0.010607867949113546,0.009785638222835794,0.010947418504928806,0.011434433226352183,0.011106733774919336,0.0115194906025344,0.010490710959003457,0.009967476673084917,0.010035603519484553,0.010554691340373361,0.011730631068699817,0.011346347116329626,0.009898599442676561,0.009910352797581332,0.011077361854238108,0.012398409111547637,0.010893752071163942,0.011431895963875104,0.012459981012925255,0.011295173813010482,0.009987893368264313,0.013361262355514244,0.01141201314532207,0.009908691829716992,0.012492872851031069,0.011728529041131853,0.011251086633692453,0.011673660508741317,0.010791297750342614,0.009035540652537638,0.01188238292412041,0.010683587471961537,0.012253692617318863,0.01115991358367399,0.011810401264195932,0.012744506899058212,0.012014378579467655,0.007831775617389758,0.012658824162640966,0.010859060695334854,0.01225136009970706,0.010949797812655234,0.010702583360329546,0.009321790945935021,0.010138844325138485,0.011872590199929122,0.009733171505567809,0.011524587626818105,0.013074177512927212,0.00964087980102927,0.011065732459947126,0.011196494013181619,0.01025775578564864,0.009468011228300375,0.011439036820374863,0.010876404563586671,0.010881206147081943,0.01171389585722348,0.010374858191318719,0.00992609788302815,0.010758789908348195,0.010485352566784413,0.012243827507374927,0.012317443869516024,0.011679339959821618,0.011334616336172438,0.008633323294347644,0.009160039567361373,0.009452574998794759,0.01151947913698523,0.008959985738230584,0.011582701435111933,0.011355455456739744,0.010582255718226368,0.009899958028706003,0.012915007923039686,0.008934495082864043,0.010466476595230393,0.009168942589449235,0.010303760892726554,0.009414269333094043,0.009636180093535932,0.008897656449417469,0.010923795106798613,0.011894809048811362,0.011036152321734317,0.011525690857569179
